text,sentiment_for_product,sentiment_for_video
😢,neutral,neutral
Oppo Find X8 Pro should have been the phone of 2025 so far,neutral,neutral
still waiting on the list of phones that still have sdcards,neutral,neutral
how is the vivo x200 fe?,neutral,neutral
"""Packed with more bollocks than a castraction clinic bin"" ~ Techspurt 2025

I come here for all my comedy needs 😂",neutral,neutral
Agreed!,neutral,neutral
Yeah Oneplus 13 Great Camera glad i bought it,positive,positive
And fun fact. The becoming Huawei Pura 80 Ultra have 4 cameras. 2 of them is an EQUAL price of Oneplus 13r,neutral,neutral
Im having trouble with certain phone because of their back being glass (which makes phone cooler obsolete),neutral,neutral
Pretty sure the x200 ultra outclasses the one plus when it comes to the camera. Cant argue its not an all round better phone since ive mever used the one plus but ive seen plenty of camera tests.,neutral,neutral
Waiting for Redmagic YT to drop a comment,neutral,neutral
"Ha! Production value, you Chris are all the value that is needed here  and good list, well done.",positive,positive
"I agree so much with his views, no one needs anything more than the mid range and I hate apple.",neutral,neutral
Sooo sooo proud to be a oneplus 13 user i agreed 100000% because this phone is something to me itzz just mind blowing😍😍😍😍🔥🔥🔥🔥 that smoothness and using experience 😍😍😍😍 i loved it so much🔥🔥🔥,positive,positive
"I don't have enough money for the OnePlus 13, but I do have enough for the OnePlus 13r. Should I go for it, unc?",neutral,neutral
I love cmf phone 2 if it has at least Snapdragon 855,positive,positive
"Does anyone know what is the best and affordable phone for doing YouTube videos? My 11-year-old has his own channel but the quality is horrible, and I don't want to pay tons of money.
Thanks in advance ✌️",positive,positive
OP 13 best camera phone 😂😂😂😂 lol,positive,positive
speed dials your mum is the best take on the extra button,positive,positive
Please vivo s30pro mini,neutral,neutral
"Proudly watching on my amazing Oneplus 13.

 Yeah, I'm too smug about it",positive,positive
"Planning to buy the nothing phone 3a pro after I lost my 2a in a lake. I originally wanted the 3a but it doesn't have esim and the pro is only like 40 eur more so i'll be getting the pro. Thanks for dropping this video right when I was deciding on my new phone, it really helped solidify my choice.",positive,positive
Yes,neutral,neutral
Just returned my Pixel 8a - genuinely the worst phone I've ever owned - going to replace it with the CMF Phone 2,negative,negative
And that's why I heard your advice and got a OnePlus 13 when it came out,neutral,neutral
Ridiculous to think one plus is the best camera..... nah,positive,positive
Foul mouthed and slightly drunk,neutral,neutral
OP 13 is the best surely.,positive,positive
Samsung s25 should be in best smartphone list,positive,positive
"I agree entirely with your awards. I have personally used Pixel 9 Pro XL, Galaxy S25 Ultra, iPhone 16 Pro Max, and OnePlus 13, and I always come back to the OnePlus 13. It is alaround the best for sure. I can say Pixel has the best photo, in my opinion, but OnePlus just does everything excellently.",positive,positive
@TechSpurt Brooooo 😭 how can I get those anime wallpapers of yours....🙏🙏🙏,neutral,neutral
Kids just buy iPhones.,neutral,neutral
Loving my OP13🇷🇺❤️🇨🇳,neutral,neutral
Why is the oneplus 13 not available in UK stores on a contract as I really want one 😫,neutral,neutral
12:06 just bought the OnePlus 13 waiting for it to arrive going to let my Poco F2 pro rest...,neutral,neutral
"for anyone into the budget category, POCO F7 is an absolute beast launching tomorrow.",neutral,neutral
One plus 13 best camera??wtf uncle???nah 😂😂 never,positive,positive
Where the Poco love? X7 Pro is best pound for pound phone available.,positive,positive
I'm looking to upgrade my Oneplus 7T after over 5.5 years should I wait for nothing phone 3 or just buy OP 13. and is there any better option around that budget? Love the video BTW,positive,positive
OnePlus 13 is the best Android phone that offers smooth UI and performance.,positive,positive
"Great top choice Chris, I just acquired an oppo x8 pro astonishing in every department. Esperanza the cameras, I'd put this in the mix but it may have been late 24. Love and hugs to you and Mr wanksock ❤",positive,positive
Best compact phone of the year next time!!,positive,positive
What about Pixel 9a? Can be a competitive option?,neutral,neutral
how would i get the vivo x200 pro or ultra in the UK?,neutral,neutral
Bro i need a phone ❤ please give me,neutral,neutral
Oneplus doesn't even come close to the rest...,neutral,neutral
OnePlus 13 is KING,neutral,neutral
"For me, I went for Poco f7 Ultra after watching your review. It's a bit cheaper in my country and also comes with Dolby Atmos support which the OP13 lacks. The cameras are also super good ( not flagship level for sure but they still quite good ) . Thanks uncle ! Keep up the good work",positive,positive
What about gt 30 pro and poco x7 pro and poco f7 in the budget and mid range part?,neutral,neutral
"What, in your opinion, would have the best battery life? Need a phone that can last days (sometimes a week) without charge but mainly in standby just in case",positive,positive
Still the  funniest  reviewer out here hahah  here from  the reccumbu days  sir.all  the best,positive,positive
One of the few reviewers out there who is not afraid to call out the fruit logo ecosystem for their garbage strategies and half baked expensive craps which they try to pass off as smartphones.,neutral,neutral
"On a side note, have you ever checked out or did a review on Realme GT7 pro? I remember you making a video on it but I just can’t seem to find it. I could be misremembering it.",neutral,neutral
My favourite so far has got to be the honor gt pro. Cameras aside. It's definitely the best value for money,positive,positive
@TechSpurt pls tell me if I should buy Samsung A35 or nothing phone 3a . Pls let me know . I’m leaning more for camera for content creation and all. But I feel like I also want it to be durable cuz I might hand it over to my mother after a year or so .,neutral,neutral
This time I went with the normal s25 for its size. But overall I think that s25 ultra and Honor magic 7 pro are the best overall,positive,positive
Never knew Heisenberg was interested in tech,neutral,neutral
Chainsaw Man though 😁,neutral,neutral
"Iphone 16e at the thumbnail? Uncle spurt you must secretly love Apple, you even have a dynamic island on your head",positive,positive
What is on your background library mate,neutral,neutral
Vivo iQOO 13 Vs OnePlus 13  👋🏻 =👑,neutral,neutral
my favorite tech tuber cheers 😀🍻,neutral,neutral
Oneplus or Oppo find x8 pro?,neutral,neutral
