text,sentiment_for_product,sentiment_for_video
25 Ultra for me,neutral,neutral
"I've just purchased the Huawei Pura 80, because I live in China every phone on the market is available.",neutral,neutral
5000nits saf,neutral,neutral
"So it's just about the cameras? What about the real world use of the phone in terms of ease of use,  useful features, and productivity??? But noooo it's just all fluff about tech specs. I highly doubt you even used these devices. 

This is a stupid list.",positive,positive
"The real top 5:
Vivo x200 ultra 
Vivo x200 pro
Oppo find x8 ultra 
Oppo find x8 pro
Xiaomi 15 ultra",neutral,neutral
怎么国产货全是,neutral,neutral
"I have a S25 Edge, and I love it.  The light weight makes it easy to hold when I am watching TV on my phone",positive,positive
Me on Oneplus 13 💪💪💯😎💯😎💯😎💯😎,neutral,neutral
I actually think the OnePlus 13 camera system beats other flagships in the UK. I prefer the colour science,neutral,neutral
I enjoy looking at the comments saying x is the best by miles. Thanks for fueling the arguments 🍿,positive,positive
You all know yall use iphones,neutral,neutral
Xiaomi 15 🧡,neutral,neutral
If Iqoo 13 had Vivo X200 Ultra cameras...its basically the same phone.,neutral,neutral
I've tried 4 of the 5 and own the oneplus and ultra 25. I find it impossible to choose between the two.  Seems this year might be a tie for me unless Nothing does something really special.,neutral,neutral
Why no folding phones could have gone with a fold 6,neutral,neutral
Bro why you dont make a video without glasses??,neutral,neutral
"1. APPLE IPHONE 16 ULTRA 
2. VIVO X200 ULTRA 
3. OPPO FIND X8 ULTRA 
4. HONOR MAGIC 7 PRO 
5. REALME GT 7 PRO",neutral,neutral
Which is the best smart phone in 2025...…?,positive,positive
Do not buy Oneplus  - if you don't want green lines.,neutral,neutral
Redmagic ❤,neutral,neutral
you miss pura 80 ultra,neutral,neutral
Saf you and I both know that it should have been the vivoX200 ultra in the top 5 list instead of the xiaomi 15 ultra if the vivoX200 ultra had a global release by now. Sad.,neutral,neutral
legooo,neutral,neutral
"I have never used iphone before, and I really wish to, even if it's Iphone 2 especially for my ASMR channel",neutral,neutral
"My fold 4 is up in August (ish) have been thinking about the Magic 7 pro, annoying some others as mentioned arent available in the UK, please can you do a fold version of this video, im not sure if i stay with a fold or back to a bar phone, thanks",positive,positive
Wheres Iphone 😂,neutral,neutral
Honor 400 pro all the way ❤🎉,neutral,neutral
"I have the IPhone for banks and other and Vivo for photos and entertainment. I think it’s the best all around setup you can get (instead of iPhone you can get some mid core Honor for 350$ with face scanner, same level of security but less expensive. I promise it’s the best phone setup you can have",positive,positive
"I've been fortunate to have every top phone this year including s25 ultra, plus and edge, iPhone 16 pro and pro max, OnePlus 13, Xiaomi 15 ultra, oppo find x8. I am hyper fussy and specific in what I look for in a phone. Have to say that as yet there has not been a phone in this list that ticks every box for me however the OnePlus 13 hits most of the boxes. The only thing that lets it down for me (personally) was the offset camera . I hoped the oppo find x8 was going to be the phone that addressed this but lost out due to poor fingerprint sensor location and dreadful haptics. The honor magic 7 pro is a high contender and next on my list and could take the spot from the OnePlus 13",negative,negative
Agree with your list here,neutral,neutral
Bro the best camera has the new realesed Huawei Pura 80 Ultra,positive,positive
Great Video😊,positive,positive
Vendido,neutral,neutral
SAMSUNG ❤❤❤,neutral,neutral
"Remember guys, we can still be friends 😂 What are your favourite smartphones of 2025 so far?",neutral,neutral
I have mine one and only IPhone 16 pro. I didn’t consider anything else💁‍♀️,neutral,neutral
2025 still 6months is their😊,neutral,neutral
