text,sentiment_for_product,sentiment_for_video
"18,000 miles on my '22 Mach-e.  No issues so far.",positive,positive
"Its not a Mustang, never will be why they have to mess up all the muscle cars up is beyond me",negative,negative
the Mach E is the best EV overall of all EVs currently under $50k..& best thing about it: Musk rat is not in your life,positive,positive
The Hyundai Kona doesn’t have a fake trunk and I’m pretty pissed about it the whole wanna be engine component thing,neutral,neutral
ouch 45 mins that would suck on a road trip,neutral,neutral
....and now the Mach-E can charge at Tesla chargers.  So much for the Mach-E's problem #1.,positive,positive
"As a Ford owner I really want to like the Mustang Mach-E. As a first effort (ignoring the Focus Electric) it has a lot going for it but not quite enough for me to buy one. The two biggest issues for me are: 1) how quickly the price escalates when you opt for the bigger battery, AWD and upgrade trim level and 2) its efficiency. The 37kWh/100 mile puts it pretty far back in the pack of current EVs. EV buyers should prioritize this at least as much as range as this is a measure of how much it will cost to drive. I'm confident Ford's next effort will be more competitive but if I end up shopping for an EV before that happens I'll be looking elsewhere.",negative,negative
"You forgot to mention the additional dealer markup to the Mach-E, which makes it even more expensive.",neutral,neutral
"Not sure where he got his numbers from, but I had a MY and it never charged 0-80% in 15 minutes. Hell, it’s slower than the EV6 and even that car only touts 20-80 in 18 minutes",negative,negative
45 minutes isnt bad! Thats lunch,negative,negative
Thinking to get a Mach e or model y after My Ioniq5 had an ICCU recall. They updated the software twice h then the ICCU finally failed and left my ass stranded the other day. Now it's gonna take them over a month to fix they don't even know actually TBA didn't even give me a comparable loaner. Other people are saying their io5 still has  iccu problem after. Can't decide i just want a reliable EV car that won't break down darn it!!,negative,negative
I like the body style and the look of it. Can you get it in a gas model or a hybrid? Electric cars or throwaway cars when a cell goes bad you’re done.,negative,negative
He's the truth... How about running a MustingE head to head with ANY Gas Mustang from NYC to LA and see who get's there first and how far behind the MUSTANG E is when ANY Gas Mustang gets to LA.,neutral,neutral
Guys I just test drove a mustang suv today. He wasn’t lying about the 0-60 comment!,positive,positive
"The Mustang Mach-e is one of those ""Almost There"" products.  Its looks and fit/finish are top of class, but the lack of a heat pump and its ""Mid"" DCFC speeds keeps me and many others from buying it.  Drove over 1000 miles in one, and came away very impressed.",positive,positive
I am driving a Mach-E at my work. It is like driving a magic carpet. I did not think I would like an electric car. But after driving the Mach-E. I want my own sooooo bad.,positive,positive
This whole thing is a con no pros about it...its not even a real mustang..its a glorified battery operated mini SUV and did a marketing hack job by gluing a plastic horse on a car..,negative,negative
I would rather drive a mustang than a swasticar or wankpanzer.,neutral,neutral
My Model Y did not charge 0-80% in 16 minutes.,neutral,neutral
"Thank you, Alex, for the five minute format❤",neutral,positive
"20,000 sold in 9 months is fucking embarrassing. It isnt even a new ev",negative,negative
"When “Mach” is pronounced “Mack” instead of “Mock”, people can’t stop thinking about “Mustang Mac and Cheese”.",neutral,neutral
"Sadly, it failed my expectations after this great video.",negative,positive
