text,sentiment_for_product,sentiment_for_video
I love how you broke everything down step-by-step.,positive,positive
"Mind you I am an enthusiast so I buy phones just because and for the latest tech, as a heavy Samsung user I've bought the iPhone 16 Pro Max at launch. Apple Intelligence drew me into it,  knowing that it would take time though.  But not as much time as needed in retrospect, and I have been running the beta builds. Unprecedented for Apple, having thus used it for 7 months and now testing out the Galaxy S25 Ultra with the Samsung/Google partnership (Gemini makes use of Bixby  in the background for phone tasks) it's clear to me they do offer currently the best AI assistant. Beats Siri + Apple Intelligence by a lot, it's not even close. To me that is where it's at,  phone hardware only goes so far - it's all about the software in 2025,  and AI is a big part of it.",positive,positive
Bro downplaying how good this camera is (especially with that recording at 4K60 9:38 being so smooth and beautiful) confuses me 😂. It has the best overall camera in a smartphone. The consistency is what makes it so great.,positive,positive
Been thinking “maybe next year will be worth an upgrade” for years. Still have 11 pro max.,positive,positive
"In iPhone 17 pro max they change main and zoom cameras, it’s 100% info.",positive,positive
how about the terrible vibration ? it is a must basic option which apple is lacking seriously,negative,negative
"I don't know if we ever gonna get new stuff or features from new phones this days, I think we already reach the peak when it comes to phone innovation.",neutral,positive
Hey chaps! What did you think of the iPhone 16's?? (and will you upgrade to a 17?),neutral,neutral
If you switch apps frequently and run messaging socials. It suddenly stops working until locked. I don’t know what’s wrong with the new phones,negative,negative
9:04 My bro chap meets celebs like celebs meet him instead xDDD,neutral,neutral
Should I get the Vivo x200 ultra or the Xiaomi 15 ultra,neutral,neutral
"Still using and loving my 13PM & 13pro, ive had them since launch both are in mint condition. Apple's hardware is so damn good. I had to upgrade my Samsung s22U to the s25U bcz it was a laggy mess. Apple isn't giving me enough reasons if any ti upgrade. Damnit Apple 😂 of course it would be a major upgrade, i just can't justify it when my phone's are running so damn good!!",positive,positive
"I upgraded from S24 Ultra to 16 Pro. The things I noticed the most: everything works very well, the quality of the apps, the camera and speaker quality. Thanx for video ❤",positive,positive
"Not quite sure it's the fastest phone especially when it comes to editing videos,.Im only going off phonebuff and some other YouTube channels",neutral,neutral
When should we expect the vivo x200 ultra,neutral,neutral
"still holding on to the ancient 6s plus, has served me well but im considering upgrading to 16 pro, should i wait or go for it?",neutral,neutral
"I’m wondering if the same people that say the “upgrade wasn’t worth it” are the same people who barely skim the surface of everything a given phone has to offer. 

I switched over from android 3 1/2 years ago and I can’t tell you how many features I have taught to lifelong Apple simply because i tinker with every setting possible to see what happens.",neutral,neutral
Mr tech chap so handsome and charming. I have the s25 ultra and the iPhone 16 pro max. Apple Ai is half baked. I prefer using the s25 ultra.,positive,positive
"Never had an iPhone, but I'm eyeing that 17 Pro Max.  Hope it's good, been a Samsung guy forever.",positive,positive
Good video😊,positive,positive
Wired Airpdrop was a joke right ? An oxymoron right in there.,positive,positive
