text,sentiment_for_product,sentiment_for_video
This vs lebron 21,neutral,neutral
Glad Nike got this right,positive,positive
"I love the look of these, and the fact that they're not as narrow as the GT Cut 2. But that price.....$190 for these.....Seriously? Oh well, they just might be worth the money, we'll see. Thanks for another dope video from Weartesters!",positive,positive
"Me after these arrive: ""Damnit, Nightwing, look what you made me do!"" 🤣",neutral,neutral
"Your description sounds like ( and it Looks like) a copy of the Shockwave 5, but I'll give the my a try.  FYI though, Nike outsoles wear out way faster on outdoor courts..",neutral,neutral
"Hey Man,  where did u get that”Kind Words Cost Nothing”  hoodie ur wearing in this video brother ? 😍 🔥",positive,positive
"Hey WearTesters! Here's a new idea on how to keep this channel up and running and gain more subscribers: Start making videos on revisiting sneakers you've reviewed in the past or recently. I mean, another performance review after they've been used several times. It's for viewers to learn how basketball shoes perform in the long term or after they've been used many times! Not just SINGLE reviews after you tested them for a few games only or first time on-feet feeling. Basketball shoes perform differently after many uses.",neutral,positive
i really like basketball shoes that look and feel like running shoes like this series . for my style of play is ideal.when i seldom play outdoors for fun with kids wearing my running shoes is always more comfort and free but lacks of support and cushion.that gap is filled with the built of this bballshoe .if only this upper close to the toes area wasn't kind of square shape .it should have been one piece connected with the rest upper.very good design! not the price though! only on bargain to buy.these recycled synthetic materials are all crap to pay for 190 ! thanks for the presentation!,positive,positive
These were going to be on my wish list. Its been since the T mac Millennium since I copped anything for the court but another torn ACL retired me. I might still try to pick them up if they ever hit discount. But I'm sad I wouldn't be able to put these to their intended purpose,positive,neutral
should put zoom stroble on gt-cut 3,neutral,neutral
The sole is similar to the material used on Lebron 17’s. Picks up dust easily and need to be wiped every possession to have a proper grip. The sole is very grippy specially on clean squeaky courts.,positive,positive
"Can't wait to get them on court- the CUt 2 was an aterthought (and w/ the ankle slippage of that shoe demmed super dangerous), the cut 3 really has lot of potential. We shall see "" if you don't wipe your shoes, are. youreally a basketball player"" really got me.. LOL",positive,positive
"Def improvement over the 2, but at that price is it better then WOW all city 2",positive,positive
I’ve been waiting on this review. Almost bought them on ID4shoes then I was like nah Nightwing hasn’t done the review yet. Lol,positive,positive
I love the first GT Cut amazing and beautiful shoe but this one is kind of weird or ugly,negative,negative
"Well, are you, bro!?! 😅@2:13",neutral,neutral
"Those look sexy fr. Think they’ll have the same bounce sensation as the Jordan XXV low just softer. Judging from my Invincible run 3’s , that zoom X cannot be tamed even if you cage it in it’s hella bouncy and soft 👍🏿",positive,positive
Is the EP version wider?,neutral,neutral
Li-ning Sonic 9 similarities,neutral,neutral
"got mine today at outlet for $69. when i tried it on, whoooaahhh such a good feeling. im just a weekend warrior. so i really need a very good cushion shoes",positive,positive
Is the shoe mainly for indoor courts or can it be used for outdoor courts?,neutral,positive
What are your thoughts on putting in the move insoles?,neutral,neutral
Are these the EP version? That might explain the wider last?,neutral,neutral
